범죄대분류,범죄중분류,지역,범죄건수
강력범죄,강도,서울 영등포구,6
강력범죄,강간,서울 영등포구,58
절도범죄,절도,서울 영등포구,1790
폭력범죄,상해,서울 영등포구,141
폭력범죄,폭행,서울 영등포구,1187
폭력범죄,협박,서울 영등포구,188
마약범죄,마약,서울 영등포구,146
강력범죄,살인기수,서울 동작구,1
강력범죄,살인미수등,서울 동작구,0
강력범죄,강도,서울 동작구,1
강력범죄,강간,서울 동작구,20
절도범죄,절도,서울 동작구,1091
폭력범죄,상해,서울 동작구,78
폭력범죄,폭행,서울 동작구,701
폭력범죄,협박,서울 동작구,148
마약범죄,마약,서울 동작구,72
강력범죄,살인기수,서울 관악구,1
강력범죄,살인미수등,서울 관악구,3
강력범죄,강도,서울 관악구,3
강력범죄,강간,서울 관악구,88
절도범죄,절도,서울 관악구,1967
폭력범죄,상해,서울 관악구,103
폭력범죄,폭행,서울 관악구,1304
폭력범죄,협박,서울 관악구,265
마약범죄,마약,서울 관악구,173
강력범죄,살인기수,서울 서초구,4
강력범죄,살인미수등,서울 서초구,6
강력범죄,강도,서울 서초구,5
강력범죄,강간,서울 서초구,52
절도범죄,절도,서울 서초구,1587
폭력범죄,상해,서울 서초구,71
폭력범죄,폭행,서울 서초구,1091
폭력범죄,협박,서울 서초구,182
마약범죄,마약,서울 서초구,220
강력범죄,살인기수,서울 강남구,3
강력범죄,살인미수등,서울 강남구,13
강력범죄,강도,서울 강남구,17
강력범죄,강간,서울 강남구,161
절도범죄,절도,서울 강남구,2094
폭력범죄,상해,서울 강남구,246
폭력범죄,폭행,서울 강남구,1900
폭력범죄,협박,서울 강남구,348
마약범죄,마약,서울 강남구,817
강력범죄,살인기수,서울 송파구,4
강력범죄,살인미수등,서울 송파구,1
강력범죄,강도,서울 송파구,3
강력범죄,강간,서울 송파구,71
절도범죄,절도,서울 송파구,2500
폭력범죄,상해,서울 송파구,119
폭력범죄,폭행,서울 송파구,1374
폭력범죄,협박,서울 송파구,293
마약범죄,마약,서울 송파구,154
강력범죄,살인기수,서울 강동구,0
강력범죄,살인미수등,서울 강동구,3
강력범죄,강도,서울 강동구,4
강력범죄,강간,서울 강동구,24
절도범죄,절도,서울 강동구,1662
폭력범죄,상해,서울 강동구,96
폭력범죄,폭행,서울 강동구,909
폭력범죄,협박,서울 강동구,172
마약범죄,마약,서울 강동구,68
강력범죄,살인기수,경기도 과천시,1
강력범죄,살인미수등,경기도 과천시,1
강력범죄,강도,경기도 과천시,0
강력범죄,강간,경기도 과천시,0
절도범죄,절도,경기도 과천시,327
폭력범죄,상해,경기도 과천시,11
폭력범죄,폭행,경기도 과천시,106
폭력범죄,협박,경기도 과천시,24
마약범죄,마약,경기도 과천시,6
